keyword_id,2016,2017,2018,2019,2020,2021,2022,2023,2024
deep-learning,7003.0,10639.0,17700.0,24294.0,29445.0,32658.0,32378.0,39949.0,48649.2
machine-learning,6210.0,6571.0,8584.0,11287.0,12288.0,10927.0,10472.0,15903.0,30559.199999999997
artificial-intelligences,1725.0,2338.0,3692.0,4893.0,6353.0,6735.0,6805.0,12686.0,19171.2
deep-learning-for-eeg,4458.0,5042.0,5853.0,6605.0,7370.0,7858.0,8043.0,8804.0,7131.599999999999
reinforcement-learning,1760.0,2477.0,3883.0,5710.0,6792.0,7796.0,6437.0,7279.0,5887.2
responsibility-in-ai,73.0,150.0,361.0,720.0,1085.0,1554.0,1619.0,2693.0,2824.7999999999997
machine-learning-algorithms,696.0,734.0,1047.0,1046.0,1166.0,1068.0,1106.0,1541.0,2362.7999999999997
artificial-neural-networks,558.0,645.0,825.0,793.0,795.0,742.0,658.0,749.0,1356.0
automated-machine-learning,269.0,341.0,440.0,598.0,678.0,746.0,580.0,642.0,1078.8
convolutional-neural-networks,109.0,157.0,272.0,290.0,315.0,218.0,204.0,391.0,824.4
