Concept,Concept ID,Parent,Publications 2018,Publications 2019,Publications 2020,Publications 2021,Publications 2022,Publications 2023,Publications 2024
Artificial neural network,https://openalex.org/C50644808,Machine Learning,52076,67574,81032,94981,96878,104909,51834
Statistical classification,https://openalex.org/C110083411,Machine Learning,770,935,998,1251,1356,1430,480
Support vector machine,https://openalex.org/C12267149,Machine Learning,16891,19704,22110,25758,26863,28096,10517
Cluster analysis,https://openalex.org/C73555534,Machine Learning,18542,20315,21372,23223,22418,23385,11378
Deep learning,https://openalex.org/C108583219,Machine Learning,20466,31046,40030,49753,53351,61959,31221
Regression analysis,https://openalex.org/C152877465,Machine Learning,13227,14669,16751,17449,16259,16966,7721
Bayesian network,https://openalex.org/C33724603,Machine Learning,1794,2015,2187,2203,2104,2156,1291
Big data,https://openalex.org/C75684735,Machine Learning,14634,15308,16072,16670,15198,15346,7639
Test set,https://openalex.org/C169903167,Machine Learning,1034,1384,1783,2191,2224,2231,604
Unsupervised learning,https://openalex.org/C8038995,Machine Learning,1468,1885,2313,2655,2495,2553,1321
Predictive analytics,https://openalex.org/C83209312,Machine Learning,535,655,659,675,609,776,773
Reinforcement learning,https://openalex.org/C97541855,Machine Learning,5551,8921,11953,14868,15251,19016,11473
k-nearest neighbors algorithm,https://openalex.org/C113238511,Machine Learning,1597,1729,1777,1877,1863,1942,971
Principal component analysis,https://openalex.org/C27438332,Machine Learning,5696,5926,6536,7236,6795,6715,2607
Evolutionary computation,https://openalex.org/C105902424,Machine Learning,768,770,729,688,700,731,441
Genetic algorithm,https://openalex.org/C8880873,Machine Learning,7112,7339,7684,8160,8179,8016,4070
Text mining,https://openalex.org/C71472368,Machine Learning,179,240,249,226,217,247,93
Logistic regression,https://openalex.org/C151956035,Machine Learning,31011,35717,46835,52018,52191,51923,23496
Information theory,https://openalex.org/C52622258,Machine Learning,601,662,580,656,546,581,234
Hidden Markov model,https://openalex.org/C23224414,Machine Learning,2160,2102,1989,1954,1613,1491,716
Feature extraction,https://openalex.org/C52622490,Machine Learning,11840,14081,14894,18068,20627,22750,7729
Time series,https://openalex.org/C151406439,Machine Learning,5720,6827,7788,8511,8119,9456,6281
Ensemble learning,https://openalex.org/C45942800,Machine Learning,1447,1885,2492,3153,3564,4519,3154
Feature selection,https://openalex.org/C148483581,Machine Learning,5077,5915,6541,7780,8248,9106,4646
Random forest,https://openalex.org/C169258074,Machine Learning,4856,6793,9282,12981,15088,18187,7568
Recommender system,https://openalex.org/C557471498,Machine Learning,3833,4315,4621,5083,5267,6034,2896
Decision tree,https://openalex.org/C84525736,Machine Learning,3768,4713,5996,7421,8225,9132,3296
Dimensionality reduction,https://openalex.org/C70518039,Machine Learning,2810,3221,3419,3661,3558,3618,1532
Computational linguistics,https://openalex.org/C155092808,Machine Learning,513,624,300,1228,524,516,133
